"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"
"Frontal_Sup_L"	0	1.98018170703482	3.84877696315979	5.28061061666627	1	2.85528838398597	3.80481740876204	4.70520946813169	2.45269714201331	4.46601113684825	2.23817648148312	4.45291670181294	3.11295296952527	4.20087882711584	3.4261978365413	3.66041328671412	1.55496316604645	2.37000325377109	4.11608995671765	4.51663591625449	4.71106332445859	5.01585720783714	2.53916687538504	2.98681312297555	4.63081466314993	6.18144452456353	2.70087059792856	4.32713969395887	2.5379994959498	3.25631749121667	3.57356053932624	3.5379014134771	3.63436504379007	4.98342078883779	4.87476756149726	4.35519711786779	4.55861599908232	5.81551281268023	3.24753931891624	4.16299614613702	5.34892054611447	6.43580285276215	5.25980738910578	5.45292822522983	4.01615442966001	4.56369785694632	6.51770814631336	6.71980983033331	6.86303920938402	8.23703711827286	9.92508168111535	11.2162966140573	6.47443438870105	8.167753370539	10.2001705015588	11.6516549016396	6.15668432719771	7.31001407197579	5.32455717322193	5.22079491810096	3.03073500838914	3.30124674759334	4.44989064107841	6.82930042261249	5.80529866047505	6.62986094724281	6.45651354557389	7.58842998669167	4.72248735228087	5.84623154147306	5.60646345144891	6.60668418059082	5.53718135502988	6.35074406723093	4.23896342472772	5.39784699086146	5.60304710026764	6.60039524508225	6.02924969227945	7.50319081061021	6.37268476476839	7.62275429085337	4.42718872423573	5.06809688745253	2.61317532113024	3.22050423219386	6.80991923593812	7.69282049572764	7.30581959810123	7.60398006444736	9.73566292196482	12.0477087789216	10.4604821469657	15.5776330231011	10.8851661496398	9.39427146981596	11.2279022739639	10.1299961712681	6.77605295264295	7.56605648458755	12.8888018109215	15.7686588652821	12.8113743654345	10.4931950738154	7.48936352687836	8.39737084473899	5.543921440196	5.15299893831276	10.8874508203644	10.3793885810809	7.79660068546034	10.6030184381618	11.4325850095243	13.9585623691924	13.2651202269013	11.672264486455
"Frontal_Sup_R"	2.35439280232206	0	4.80896748006254	4.71104440585518	3.28556905707017	1	5.28664337087732	3.75556215555636	4.23744909618597	2.4360432199251	4.1169995791342	2.5214409042404	4.35924032263377	3.12150631152534	3.8139732238936	3.41514717699689	2.4116219434252	1.91874751851331	4.69041575982343	4.41141769282915	5.17687164221791	4.87369892140155	3.18404740774016	2.55079966821552	6.59451698921063	4.07242131717918	4.07625981013663	2.61626214019293	2.71880339338686	2.53711192834233	3.65759352998963	2.92244244707391	4.78338736691759	3.53163047233193	5.15460711933581	3.78743342548246	5.3773996051036	4.55945649536466	4.14640700244203	3.02062263015848	6.06235609175882	5.3078716617197	5.2382577506548	5.02126625007063	4.09113799228802	4.12964366919622	6.5032459427741	6.24655749349036	6.84277205610158	7.67193173753298	9.83155228282162	10.4775360205512	6.64161961505709	7.62953183999916	10.399623739013	10.6105641130177	6.53379493024354	6.48417966956971	5.69433530321622	4.71500919475552	3.2868227304385	2.88457907850989	6.41622466340587	4.7156871098529	7.54340672870202	4.79055719120931	8.4416345591272	5.58237595906211	6.17091473602134	4.41893323714636	6.88291488938497	5.2341715413366	6.72540943552671	5.21766867384673	5.03612679540688	4.4551420401925	6.21047764453668	5.76251002074013	6.91036080242943	6.29138778678345	7.11371480111516	6.64606746625081	5.22200993441242	4.25512169109893	3.24865893263017	2.49290180050743	8.98212510648629	5.64891639257092	8.88216511571684	6.09434374162023	10.4330914685131	10.9151058118426	10.9602238126827	14.3954477409579	11.1414352283433	8.78507655592471	11.7103193358409	9.33739342042791	7.12228547269835	6.9398068806149	13.7286105442156	14.5333020153673	13.4750049193222	9.83282888133033	7.63828490084097	8.13377962823705	5.91498207833405	4.72259596211228	10.6822168156971	10.1374697377071	7.5955452531275	10.3714994094393	11.2181994990284	13.7353025662111	13.0655010264884	11.5335154234075
"Frontal_Sup_Orb_L"	3.37681472660875	3.54864415207642	0	2.72696968013281	3.14859795222385	3.71709481895872	1	3.13160498897128	3.14282651296028	4.93349937249354	2.41783207640347	4.48313954121277	1.35620268186054	3.14480637918051	1.94953514593181	2.3746947714879	3.21996260909659	3.555529643355	1.15052136962567	2.03901342751237	1.2579161105481	2.12962299894771	2.61825574722844	3.20977126582991	5.35988759786326	6.59953378306727	4.94640146138772	6.04979338490167	5.76725768986104	6.1913918736689	5.79266984416037	5.60672869849831	5.56984549228675	6.67057356785291	6.51266138147226	5.63610721899795	6.10310073788027	7.23359669429024	4.0616102399004	4.8596061375466	6.52947208920359	7.56089891673087	6.87833376696974	6.91565105454264	6.61206658015719	6.93702401309621	7.93152513134081	7.94543077056682	7.30677007226099	8.82706481061127	11.3731185735029	12.8014103205346	6.59099207028716	8.31278768069955	11.6848719241615	13.3041346956501	6.79441102407127	7.99462398983551	5.39545263077243	5.27000186006396	3.28020203653032	3.50915364326434	4.0793653151006	6.4286755130788	6.41244126562377	6.94844578854901	6.8676181536598	7.78431150571311	2.74892774979353	4.67402107708616	5.62777173238349	6.61137994881448	2.93482666390535	4.60290364788372	3.64453715471866	4.89330608530107	5.04507370903951	6.03312114287768	5.38459164287264	6.8489270268006	4.99938267794073	6.33407983655768	3.10102024027774	3.92978139572443	2.68980664006842	3.23593330707172	6.15716771622426	7.17366980432878	6.51783268097171	7	9.04340270750565	11.2442922643949	9.5520136021376	14.1782966672849	9.71501821652273	8.37050897859549	10.3396273983564	9.34789695974947	6.34191281523393	7.05615136109277	11.2698758205271	14.007743125496	10.8678935912674	9.0481516133986	6.2507358057438	7.06594663226059	4.39214174303484	4.24515714942344	9.75679875528954	9.83646773801325	7.77303790954317	10.3386652910325	10.8318050204017	12.6505567215777	11.7125115508702	10.1277553570092
"Frontal_Sup_Orb_R"	4.06821333170106	3.0525507625199	2.39450305070031	0	4.33614555491179	2.73000480011508	3.36349284407586	1	4.57982999327438	3.49034120851025	4.0453405140005	2.7894483142389	3.09040373383402	1.47429770365699	2.46557048179266	1.95657320183991	3.56531103637111	3.1748388919833	1.88391426237419	1	1.97930469074964	1.23669388480168	3.07472720227682	2.71569512280005	7.09068246206088	5.05457396312666	5.86549004857512	5.25914638412501	6.00412770929713	6.06310656852255	6.04370050461418	5.47504123774643	6.46180832951715	5.9732160805405	6.89322416871841	5.41785390323587	6.8491359180708	6.57785214194283	4.84579483415784	4.15795509884689	7.24717971578276	6.9375310838534	7.07917750154357	6.83385976913942	6.85434273935067	6.90245499022531	8.19050765120304	7.86121500142957	7.48724405435082	8.60345931559637	11.6223797109253	12.589151109734	6.91356533352474	8.0634677524699	12.1622485525939	12.8648523030294	7.2813816352749	7.53632392774813	5.85087406057653	4.94482961439257	3.60555127546399	3.28074295492396	6.03994337974574	4.49133957161346	8.04140405056714	5.60146449550312	8.74301426897284	6.24454818401395	4.60157889228108	2.87931527129894	6.9036390157823	5.54449089730922	4.55832226666703	2.94415519165195	4.52004416131888	4.0300686087774	5.75872090394311	5.33684214287541	6.39540730273696	5.81084825535898	5.91399261429834	5.36206798256469	4.08631364235217	2.95547770839986	3.30338471837743	2.65081495456994	8.40493052576029	5.31688167718925	8.23320801909646	5.67156650905785	9.8967561924365	10.3732661762239	10.2183982429049	13.2583231417144	10.2122217800149	7.95665829446969	11.0703492076333	8.80579673140178	6.81909084849293	6.60894552251267	12.311200451851	12.9675219878751	11.7266854445385	8.4884375139699	6.50602043393598	6.8918602391924	4.86386090026667	3.82480407519029	9.79111095119122	9.88285038373632	7.81441544566172	10.385374331241	10.87271815141	12.6876163937951	11.742148388625	10.1899541134965
"Frontal_Mid_L"	1	2.76335526408054	3.58866335463459	5.62839123362865	0	3.58183145045104	3.29116631316842	5.15100170188465	1.66446395322107	5.20001403703889	1.39518489115355	5.17539095458949	2.57159391002842	4.60147299448864	3.29427286012801	3.78503110701876	2.29210194871074	3.24228897708783	4.15661600913518	4.80277697448743	4.60753857983912	5.14438586056226	2.90869838859059	3.67960238126493	3.78267656234427	6.9122707686756	2.45016555732019	5.06713548950149	3.17932510261346	4.0168563747208	3.87421855062288	4.07466204897991	3.36174426500757	5.62138772902208	4.87111233384704	4.63873116542954	4.32304994268126	6.33128529617623	2.89431795281032	4.58092778035837	5.08090168765881	6.85726490803202	5.36106179842738	5.68316466906755	4.33075001396447	4.98703354682143	6.5762263682718	6.92914042381788	6.77871524642811	8.35580709417839	9.91339307799507	11.445136541015	6.29477426176157	8.24088557874402	10.0700445431711	11.9959432670906	5.94462987398075	7.5555269347112	5.07740090991444	5.32643830274488	2.95426620113783	3.47111978565587	3.60660970826984	7.57584600047749	5.04457740490022	7.25382502739692	5.53145685379296	8.24144091252293	4.00353617278431	6.30780324223407	4.96590693229662	7.02115031345562	4.90186718371606	6.67627247106376	3.7913413201462	5.64513253763996	5.21773472881918	6.78286417207448	5.55833263923589	7.84513220352469	5.92181570420491	7.85190946646123	4.02035636556294	5.3061570868476	2.55925786055504	3.62039772587027	5.99255490468917	8.46864503435754	6.73344530788553	8.18848472254068	9.21627685327131	12.2208361910837	9.99698749804883	15.6717072981393	10.5387755206041	9.43299042781317	10.785589801602	10.2245809730652	6.4780042456834	7.64213967751014	12.199519778593	15.8661570570518	12.1841924416247	10.4818437127753	7.21999320545334	8.27524247433571	5.23201930176351	5.18867325017556	10.7260794555982	10.2825924414553	7.74252837012111	10.4785495179438	11.2605506082074	13.701967101078	13.0051584512248	11.4287087903833
"Frontal_Mid_R"	3.39487552881031	1	5.03724446257087	4.21325469815381	4.25871936707293	0	5.713568045721	3.07562342614623	5.02227741570013	1.52473522889982	4.84508439217477	1.42065061685922	4.75469692589789	2.42007217067896	3.95681151791643	3.29270776089003	3.24305611041859	2.42396821153811	4.79100795505847	4.22259434830094	5.18425217251585	4.61009123298776	3.77665962124426	2.8562028528874	7.57921133393472	3.2871154839963	5.06219594786389	2.63530407850914	3.89154778258525	3.49645895517525	4.49188529381851	3.59425378723892	5.68517300114782	3.58829514797285	5.7503180573612	3.99320305371307	6.11395154202364	4.54941324604402	4.7075608937226	2.78568970168861	6.69724017313098	5.25020654543382	5.76649451715628	5.37297426562015	4.93701334000876	4.7762903639004	7.0738222368788	6.61069578042272	7.0833044982112	7.76012320747048	10.3398763763529	10.7900314532008	6.89107597582374	7.62793326227088	11.0171144858444	10.8084693111262	6.94269819314207	6.43314466792651	5.96367793777083	4.59793907349307	3.60459914712325	2.93815305299636	7.29215828949728	3.79170795029468	8.49934150214881	4.20005350420709	9.4339811320566	4.83084657712138	6.63182720488643	3.54286144520457	7.51343712635818	4.72921951714861	7.0121188895194	4.42362574482635	5.35558224739169	4	6.50882638014762	5.42271123161185	7.37906615256637	5.85038035982362	7.41494986372002	6.18222113451374	5.52471256986206	3.81831709717062	3.73952720875513	2.47206616236522	10.0968524091139	4.94586074020877	9.80251425473515	5.69975258122486	10.7820690059094	10.4532922005202	11.187342244967	13.842922596912	11.3699743090947	8.60504090472338	12.0748760481815	9.10992064760212	7.3417102380752	6.72075757452082	14.0266701232857	13.8729171887279	13.6466964219302	9.43461206207784	7.63012895857785	7.93297716477443	6.00108215349424	4.45800251320779	10.7044554206956	10.2707256256824	7.73870622032501	10.4678555588048	11.2434870035946	13.6725646603058	12.97323699193	11.4671053668529
"Frontal_Mid_Orb_L"	3.33824578065881	3.90113182506557	1	3.83049961137281	2.88758194626627	4.21616904605785	0	3.98161799439397	2.8032999422177	5.6500758989799	1.94338096104403	5.24474015276953	1.07736450921417	3.89673876501297	2.45789281975477	3.07802319746355	3.42510485731198	3.9906607390667	2.01296376554256	3.04909325816212	2.31237082310113	3.23673764587668	3.17266283643318	3.94535036133475	5.08932555137724	7.44793896804981	4.7871931800426	6.53689792506802	5.90541055929847	6.46682455458781	6.03221019267502	5.99122164855426	5.43809228333974	7.13853070944261	6.5624810674633	5.87273056987546	6.02803249763198	7.68976541342873	3.92644158514993	5.27451133268834	6.4878516490571	8.02794802716198	7.05389091559973	7.20496186040121	6.7199905789588	7.16004099501949	8.27686495640067	8.42537910049233	7.55654068933282	9.29174824055482	11.700984722589	13.3403373934062	6.81333755419845	8.81628205471517	11.916375287813	13.9109048712254	6.86953245792435	8.43955654342582	5.46276653187908	5.59429994006972	3.49828333186763	3.90257459833572	3.94039560923163	7.56393513682517	6.27836845428501	7.7958502357906	6.58696134051905	8.67451387751705	2.57528162958891	5.58413579832259	5.46840698041714	7.28579155759274	2.93482666390535	5.51647852073309	3.59065279919494	5.45572701525262	5.16818127776781	6.66104835723261	5.59816989496027	7.76425707606738	5.31536324438444	7.2742624105143	3.32829551278251	4.69888768269103	3.01523356742649	3.87595001331894	6.42122596216197	8.51092811836038	7.03181545345358	8.24621125123532	9.20515832340955	12.0881773236395	9.79365420313595	15.1923411268857	10.3739298750585	9.20838707501832	10.8742815854658	10.1916219944867	6.55202854192382	7.60847480700889	11.5426306894193	15.0717161101855	11.2389114825739	9.76083037060933	6.59845608013795	7.60388088576398	4.60406370475068	4.70096044720795	10.5402827749359	10.5864616719519	8.25230826593241	10.8822791730409	11.3834968265468	13.3713381128004	12.4640947740534	10.8556968383496
"Frontal_Mid_Orb_R"	4.54157453759988	3.04879736853764	3.4451645647929	1.25287548052349	4.97186327853368	2.49681731252248	4.38028719239395	0	5.33795004583444	3.17207247641356	4.82231448384819	2.29486891949502	3.95134094176841	1.18065210538049	3.27753993739773	2.58531406162788	4.00497203423755	3.35391654918626	2.90604313546828	1.97253874256226	3.20752791010735	2.380064260131	3.90512483795333	3.25455146881377	8.14452781524708	4.83417322499213	6.43587832399934	5.17087333382696	6.3430461321225	6.26516178979061	6.51718376375305	5.81616292723753	7.04784970260175	5.94341130421196	7.27591446470545	5.51614392515787	7.38816718877029	6.57185471902335	5.34071678840523	4.07047809800136	7.80415909214098	6.97856113087886	7.45742011382612	7.11382860188866	7.17860530331063	7.13235610420023	8.81114996106431	8.37047997816942	7.94445587091824	8.98915335550465	12.2338328690017	13.0709432529609	7.44939353587174	8.47895529690004	12.8508726371493	13.2374502263682	7.7851439041591	7.6975055931573	6.31462947880123	5.0747584655607	4.09777525173477	3.58277590505473	7.2764390250655	4.448245187251	9.16270832672289	5.56372682469002	9.92358866238915	6.07721846486227	5.68596418202272	2.65982871566582	7.75368887173654	5.50109706926875	5.6359693880819	2.88507390759442	5.14772040238498	4.0345728123034	6.46362913761801	5.56450969232169	7.38742675591942	6.15750709435412	6.92864870227277	5.81572824635582	4.98487508287186	3.25029136223108	4.0416161810075	3.03554927269731	10.1936604949211	5.65912016356262	9.93820190692749	6.27775886843835	10.7960278282093	10.706080283594	11.0655222711145	13.7643681774828	11.3815409187074	8.66456960010941	12.2801722943511	9.41762118504703	7.45910838320107	6.93124415915857	13.490737563232	13.4406325152367	12.8695867309818	8.92228350015526	7.13164618853814	7.41711363406504	5.47841099343478	4.06381140147966	10.7669322124871	10.8256695844285	8.43036214626393	11.0912578186606	11.5868891424748	13.6055046248774	12.6880969762234	11.1266436000349
"Frontal_Inf_Oper_L"	2.62322224831004	3.81172691657128	3.83113169878796	6.3580061673643	1.78018671722981	4.51770618911809	3.41724598082402	5.91477438154288	0	5.92286180581676	1	6.01640094175669	2.06227451869924	5.04606875868288	2.96891107810435	3.78003436410497	4.0451432705903	4.89389913629397	4.9307340962907	5.68517476610984	4.72415569798705	5.44166929405696	4.01067654090796	4.94775334448826	1.6978563099929	7.36519883276438	2.20324865500052	5.70873498880565	4.06977432581502	4.87085467092021	3.88962550933516	4.40801792300909	2.71858942777706	6.02323088921781	4.3842187497662	4.60843693693402	3.51612178286402	6.47197306323429	1.99417757134276	4.75683894813809	4.08165926592512	6.77837533924964	4.88658249951745	5.35616696809985	4.50619078553976	5.17708009145902	5.70998214567227	6.27249199634052	5.8056767351396	7.51973014565115	8.71322499738601	10.4707768642825	5.18481947045184	7.33351810558057	8.70240679685632	11.1957640535768	4.90680339699071	7.11014346742656	4.07966130501496	4.91823124604392	2.36826849241675	3.2597708807047	1.87592216508725	8.05055745956987	2.91803450513086	7.42641807288402	3.14452853405603	8.41514151643174	2.7377514530848	6.60566838191142	3.23709197873098	6.92944740793307	3.73471728616065	6.77712775303173	2.59291281787329	5.47351822043206	3.87886614951627	6.2984355085269	3.94874569864819	7.46576108996814	4.42356205275431	7.35811415864359	2.93952654802276	5.1997960332958	2.42250405498409	3.94890740987944	4.11009210880451	8.86436253077022	5.05328747309257	8.23609940040389	7.31107428692362	11.205272845178	8.15696908038232	14.2126704035519	8.54092315976749	8.30155936258166	8.57474873039867	9.10016945513376	5.17118310948018	6.88326305939469	9.75922252243611	14.454331905812	9.86883678018536	9.40522904204535	5.99150341797008	7.19256780810638	4.14227492550187	4.71189364773578	9.05605847606735	8.70169593786878	6.59478007672394	8.96928090763134	9.65857132292349	11.7067835244274	11.0652168704569	9.65503911021495
"Frontal_Inf_Oper_R"	4.43376514728678	2.03406110531436	5.58243239115971	4.49781091535683	5.16246831822634	1.27313201984284	6.39326456324943	3.26263507686466	5.49785549958705	0	5.46285340235279	1	5.10047850229574	2.00481514024522	3.91182891986367	3.04942110443359	4.61503060257314	3.90050385825456	5.55060794462312	4.87230889203404	5.43950689806692	4.68162867588017	4.70512039109913	3.86703340668542	7.85163347005884	1.57870443475265	5.53794855268496	2.32749680543505	4.61343513921934	4.01965889817254	4.57055271855714	3.59491932817366	5.95012382307577	3.0541097241089	5.61667818121606	3.62340064829498	6.1316018940195	3.80021583315328	4.77361240731612	2.02418265881358	6.53895443263264	4.33786061328801	5.43787567008282	4.84852521095967	5.14711625625415	4.74796434986889	6.44910141732235	5.75416280708059	6.34261445856002	6.6420684406841	9.40127959221586	9.49196213291769	6.207206438061	6.44110276878492	10.1934193037199	9.40344504748456	6.49888065250084	5.41230021622722	5.54092214182966	3.82884899496365	3.37543962727013	2.41079798047345	7.62328694309705	2.14819787225494	8.52607939505294	2.55391305844822	9.50294534074851	3.02517526653555	6.79240697049508	2.45118313375127	7.39560549887436	3.34096826766092	7.01110978214993	3.43583748933386	5.18375780966277	2.91657509013745	6.05807937657629	4.19324854180304	6.97526494031978	4.31638803558703	6.92374693391795	4.76839476684579	5.35628564570331	2.91677488976708	3.93219422135051	2.29775836122732	10.3146913256218	3.48071610669193	9.71927392937794	4.39551053013331	9.95441416888925	8.56756095835879	10.2113213805731	11.5466575771874	10.0446372180435	7.08427243179216	10.8239500523996	7.43130534061282	6.66019189125725	5.51209050746195	12.8884099527875	11.5440486936327	12.4259422340537	7.91209140974689	6.78093887861199	6.78866502713742	5.47817393027911	3.62676137321611	9.1737961927092	8.80202304905512	6.67149726370662	9.08801408449613	9.79346721033976	11.8784494348214	11.229317030684	9.90670768433475
